t (s),V (mV)
690.924,11.5367
691.925,11.5326
692.924,11.5279
693.925,11.5251
694.924,11.5197
695.925,11.5166
696.924,11.5113
697.925,11.508
698.924,11.5028
699.925,11.4998
700.924,11.4948
701.925,11.4909
702.925,11.4863
703.924,11.4823
704.925,11.4776
705.925,11.4735
706.924,11.4688
707.925,11.4657
708.924,11.4616
709.925,11.458
710.924,11.454
711.925,11.4501
712.924,11.4449
713.925,11.4418
714.924,11.4364
715.925,11.4336
716.925,11.4294
717.924,11.4255
718.925,11.4212
719.924,11.4166
720.925,11.413
721.924,11.4076
722.925,11.4043
723.924,11.4008
724.925,11.3962
725.924,11.3924
726.925,11.3874
727.924,11.3842
728.925,11.3804
729.924,11.3748
730.925,11.3718
731.924,11.3679
732.925,11.3647
733.924,11.3605
734.925,11.3562
735.924,11.3513
736.925,11.3473
737.925,11.3438
738.924,11.3391
739.924,11.3353
740.925,11.3313
741.924,11.3276
742.925,11.3242
743.925,11.3196
744.924,11.3154
745.925,11.3119
746.924,11.3039
747.925,11.3025
748.924,11.3001
749.925,11.2959
750.924,11.2927
751.925,11.2882
752.925,11.2837
753.924,11.2794
754.925,11.2749
755.924,11.2719
756.925,11.2669
757.924,11.2621
758.925,11.2607
759.924,11.254
760.925,11.2516
761.924,11.2466
762.925,11.2428
763.924,11.2387
764.924,11.235
765.924,11.23
766.925,11.2271
767.924,11.2225
768.925,11.2185
769.924,11.2138
770.925,11.2087
771.924,11.2057
772.925,11.2023
773.924,11.1962
774.925,11.1934
775.924,11.1898
776.925,11.1857
777.925,11.1819
778.924,11.1769
779.925,11.1743
780.925,11.1698
781.924,11.1661
782.925,11.161
783.924,11.1575
784.925,11.1541
785.924,11.1497
786.925,11.1458
787.924,11.1409
788.925,11.1371
789.924,11.1336
790.925,11.1294
791.924,11.126
792.925,11.1218
793.924,11.1179
794.925,11.114
795.924,11.111
796.925,11.1067
797.924,11.1027
798.925,11.0999
799.924,11.0957
800.924,11.0914
801.925,11.0874
802.925,11.0834
803.924,11.0811
804.925,11.076
805.925,11.072
806.924,11.0684
807.925,11.0637
808.925,11.0602
809.924,11.0564
810.924,11.0521
811.925,11.0491
812.924,11.0451
813.924,11.0412
814.925,11.0363
815.924,11.0328
816.924,11.0285
817.925,11.0246
818.924,11.0204
819.925,11.0161
820.924,11.0123
821.925,11.0085
822.924,11.0049
823.924,11.0013
824.925,10.9971
825.925,10.9929
826.924,10.9891
827.925,10.9848
828.925,10.9812
829.924,10.9771
830.925,10.9734
831.925,10.9704
832.924,10.9649
833.925,10.9606
834.925,10.9565
835.924,10.9533
836.924,10.9499
837.925,10.9471
838.924,10.9434
839.924,10.9386
840.924,10.9346
841.925,10.9308
842.924,10.9279
843.925,10.9241
844.924,10.9194
845.925,10.9163
846.925,10.9119
847.924,10.9089
848.925,10.9058
849.924,10.9013
850.924,10.8976
851.925,10.8952
852.924,10.8913
853.924,10.8862
854.925,10.8829
855.924,10.8796
856.925,10.8758
857.924,10.8721
858.924,10.8677
859.925,10.8648
860.924,10.8606
861.924,10.8572
862.925,10.8535
863.924,10.8495
864.925,10.8459
865.925,10.8424
866.924,10.8382
867.925,10.8348
868.924,10.8313
869.925,10.8269
870.924,10.8228
871.925,10.8205
872.924,10.8159
873.925,10.8124
874.925,10.808
875.924,10.8048
876.925,10.8019
877.925,10.7974
878.924,10.7937
879.924,10.7889
880.925,10.7868
881.924,10.7832
882.925,10.7791
883.925,10.7746
884.924,10.7719
885.925,10.7687
886.925,10.7637
887.924,10.7606
888.925,10.7571
889.925,10.7534
890.924,10.7492
891.925,10.7456
892.924,10.7421
893.924,10.7383
894.925,10.7329
895.924,10.7303
896.925,10.7287
897.924,10.7257
898.925,10.7227
899.925,10.7174
900.924,10.7128
901.925,10.7099
902.925,10.7052
903.924,10.7011
904.924,10.6962
905.925,10.6965
